import time: self [us] | cumulative | imported package
import time:      1844 |      76531 |           services.container.service_container
import time:      1994 |      78525 |         services.container
import time:      1091 |      79615 |       routers.deps
import time:      1337 |       1337 |           core.services.service_registry
import time:      1290 |       2627 |         core.services
import time:        78 |       2704 |       core.services.service_registry
import time:      1109 |       1109 |         schemas
import time:      7969 |       9078 |       schemas.requests
import time:      2025 |       2025 |               pydantic.v1.typing
import time:      4008 |       6033 |             pydantic.v1.errors
import time:       801 |        801 |                 cython
import time:      1309 |       2109 |               pydantic.v1.version
import time:      3471 |       5580 |             pydantic.v1.utils
import time:      2018 |      13629 |           pydantic.v1.class_validators
import time:      2334 |       2334 |           pydantic.v1.config
import time:      2699 |       2699 |               pydantic.v1.color
import time:      4476 |       4476 |                   pydantic.v1.datetime_parse
import time:      2756 |       7231 |                 pydantic.v1.validators
import time:      3579 |      10810 |               pydantic.v1.networks
import time:      4789 |       4789 |               pydantic.v1.types
import time:      1726 |      20023 |             pydantic.v1.json
import time:      2016 |      22039 |           pydantic.v1.error_wrappers
import time:      2626 |       2626 |           pydantic.v1.fields
import time:      1455 |       1455 |             pydantic.v1.parse
import time:      2205 |       2205 |             pydantic.v1.schema
import time:      2944 |       6603 |           pydantic.v1.main
import time:      2441 |      49669 |         pydantic.v1.dataclasses
import time:      1325 |       1325 |         pydantic.v1.annotated_types
import time:      1523 |       1523 |         pydantic.v1.decorator
import time:      2260 |       2260 |         pydantic.v1.env_settings
import time:      1542 |       1542 |         pydantic.v1.tools
import time:      1864 |      58181 |       pydantic.v1
import time:     38427 |     188003 |     routers.memory
import time:      9120 |       9120 |     routers.soul
import time:      3242 |       3242 |       schemas.runtime_settings
import time:      7076 |      10318 |     routers.config
import time:      3508 |       3508 |             core.runtime
import time:     11193 |      14701 |           core.schemas.plugin
import time:      1071 |      15771 |         core.schemas
import time:        69 |      15839 |       core.schemas.plugin
import time:      1356 |       1356 |         httpx.__version__
import time:      1191 |       1191 |                   urllib.response
import time:      1051 |       2242 |                 urllib.error
import time:      1266 |       1266 |                 nturl2path
import time:      3771 |       7278 |               urllib.request
import time:      1514 |       1514 |               httpx._exceptions
import time:      5497 |       5497 |                 http.cookiejar
import time:      2291 |       2291 |                     httpx._types
import time:      1080 |       1080 |                     httpx._utils
import time:      1601 |       4971 |                   httpx._multipart
import time:      1806 |       6777 |                 httpx._content
import time:      1672 |       1672 |                     _brotli
import time:      1091 |       2762 |                   brotli
import time:       484 |        484 |                   zstandard
import time:      1430 |       4675 |                 httpx._decoders
import time:      2108 |       2108 |                 httpx._status_codes
import time:      1534 |       1534 |                       unicodedata
import time:      1809 |       1809 |                       idna.idnadata
import time:      1037 |       1037 |                       idna.intranges
import time:      2093 |       6470 |                     idna.core
import time:      2001 |       2001 |                     idna.package_data
import time:      1293 |       9763 |                   idna
import time:      2828 |       2828 |                   httpx._urlparse
import time:      1374 |      13964 |                 httpx._urls
import time:      2081 |      35099 |               httpx._models
import time:      1687 |      45577 |             httpx._auth
import time:      1179 |       1179 |             httpx._config
import time:      1491 |       1491 |                   httpx._transports.base
import time:      1756 |       3247 |                 httpx._transports.asgi
import time:      1564 |       1564 |                 httpx._transports.default
import time:      1064 |       1064 |                 httpx._transports.mock
import time:      1015 |       1015 |                 httpx._transports.wsgi
import time:      1077 |       7965 |               httpx._transports
import time:        58 |       8023 |             httpx._transports.base
import time:      2131 |      56909 |           httpx._client
import time:       972 |      57881 |         httpx._api
import time:      1198 |       1198 |             pygments
import time:      3756 |       3756 |             pygments.lexers._mapping
import time:      1390 |       1390 |             pygments.modeline
import time:       852 |        852 |             pygments.plugin
import time:      1644 |       1644 |             pygments.util
import time:      1636 |      10473 |           pygments.lexers
import time:      1358 |       1358 |               rich._extension
import time:      1556 |       2914 |             rich
import time:       437 |        437 |               termios
import time:       937 |       1373 |             getpass
import time:      1058 |       1058 |             rich._null_file
import time:      1095 |       1095 |             rich.errors
import time:      1194 |       1194 |                         rich.color_triplet
import time:      1125 |       2318 |                       rich.palette
import time:       882 |       3200 |                     rich._palettes
import time:      1265 |       1265 |                     rich.repr
import time:      1109 |       1109 |                     rich.terminal_theme
